date,code,close,high,low,open,adjust,volume
2022/2/23,'601018,4.05,4.08,4.04,4.06,4.06,15804700
2022/2/22,'601018,4.06,4.13,4.04,4.13,4.13,13882258
2022/2/21,'601018,4.13,4.14,4.09,4.14,4.13,12254512
2022/2/18,'601018,4.13,4.13,4.03,4.05,4.07,14647183
2022/2/17,'601018,4.07,4.11,4.06,4.1,4.1,10971250
2022/2/16,'601018,4.1,4.1,4.04,4.04,4.04,12446007
2022/2/15,'601018,4.04,4.09,4.03,4.08,4.07,9877401
2022/2/14,'601018,4.07,4.13,4.05,4.13,4.14,16147549
2022/2/11,'601018,4.14,4.21,4.1,4.19,4.18,20474078
2022/2/10,'601018,4.18,4.19,4.12,4.14,4.14,19050700
2022/2/9,'601018,4.14,4.19,4.11,4.16,4.15,22767701
2022/2/8,'601018,4.15,4.17,4.05,4.06,4.05,32379854
2022/2/7,'601018,4.05,4.07,3.97,3.99,3.95,16592501
2022/1/28,'601018,3.95,3.97,3.9,3.93,3.92,11145588
2022/1/27,'601018,3.92,3.97,3.91,3.96,3.96,9048650
2022/1/26,'601018,3.96,3.98,3.92,3.92,3.93,12344219
2022/1/25,'601018,3.93,4.04,3.93,4.02,4.04,15238399
2022/1/24,'601018,4.04,4.06,4.01,4.02,4.02,12021654
2022/1/21,'601018,4.02,4.08,4,4.06,4.07,17002684
2022/1/20,'601018,4.07,4.12,4.06,4.07,4.08,14196631
2022/1/19,'601018,4.08,4.1,4.05,4.06,4.09,12269631
2022/1/18,'601018,4.09,4.09,4.04,4.05,4.06,17049656
2022/1/17,'601018,4.06,4.09,4.02,4.06,4.07,15319353
2022/1/14,'601018,4.07,4.14,4.05,4.12,4.14,23760482
2022/1/13,'601018,4.14,4.18,4.12,4.14,4.15,13884902
2022/1/12,'601018,4.15,4.22,4.12,4.17,4.2,20634590
2022/1/11,'601018,4.2,4.23,4.14,4.19,4.2,22200000
2022/1/10,'601018,4.2,4.27,4.17,4.22,4.21,23223298
2022/1/7,'601018,4.21,4.3,4.17,4.22,4.22,37111413
2022/1/6,'601018,4.22,4.3,4.11,4.14,4.18,55841025
2022/1/5,'601018,4.18,4.43,4.02,4.05,4.04,92356137
2022/1/4,'601018,4.04,4.06,3.97,3.98,3.97,25483200
2021/12/31,'601018,3.97,3.99,3.95,3.99,3.98,10894580
2021/12/30,'601018,3.98,4,3.95,3.96,3.97,10895200
2021/12/29,'601018,3.97,4.05,3.94,3.95,3.95,17868097
2021/12/28,'601018,3.95,3.97,3.92,3.94,3.94,9397501
2021/12/27,'601018,3.94,3.96,3.92,3.94,3.93,9162431
2021/12/24,'601018,3.93,3.97,3.92,3.95,3.95,9346601
2021/12/23,'601018,3.95,3.99,3.94,3.99,4,16338872
2021/12/22,'601018,4,4.09,3.99,4.09,4.06,16459700
2021/12/21,'601018,4.06,4.08,3.98,3.99,3.99,24205001
2021/12/20,'601018,3.99,4,3.96,4,4,12082500
2021/12/17,'601018,4,4.01,3.97,3.99,4,16023937
2021/12/16,'601018,4,4,3.92,3.96,3.97,16375815
2021/12/15,'601018,3.97,4.03,3.9,3.95,3.94,27782976
2021/12/14,'601018,3.94,4.02,3.9,4.01,4.02,30177917
2021/12/13,'601018,4.02,4.06,4,4.03,4.03,21294166
2021/12/10,'601018,4.03,4.1,4.02,4.09,4.11,32994036
2021/12/9,'601018,4.11,4.25,4.09,4.2,4.17,51268183
2021/12/8,'601018,4.17,4.22,4.03,4.06,4.05,59471889
2021/12/7,'601018,4.05,4.19,4,4.07,4.21,78105656
2021/12/6,'601018,4.21,4.49,4.16,4.4,4.18,152300856
2021/12/3,'601018,4.18,4.18,4.18,4.18,3.8,59614866
2021/12/2,'601018,3.8,3.89,3.71,3.72,3.73,24646223
2021/12/1,'601018,3.73,3.73,3.7,3.73,3.7,6484126
2021/11/30,'601018,3.7,3.73,3.69,3.7,3.69,7343504
2021/11/29,'601018,3.69,3.7,3.68,3.7,3.72,9017852
2021/11/26,'601018,3.72,3.76,3.71,3.76,3.76,7128913
2021/11/25,'601018,3.76,3.78,3.74,3.77,3.77,6079812
2021/11/24,'601018,3.77,3.79,3.76,3.79,3.79,6816156
2021/11/23,'601018,3.79,3.81,3.75,3.76,3.77,12140179
